Time,Eat-Count,Collision-Count
1000,0,179
2000,0,292
3000,0,502
4000,0,599
5000,0,706
6000,1,760
7000,1,884
8000,1,1023
9000,1,1029
10000,2,1098
11000,2,1265
12000,2,1341
13000,3,1357
14000,4,1363
15000,5,1363
16000,6,1363
17000,7,1363
18000,7,1363
19000,7,1372
20000,8,1372
21000,9,1407
22000,9,1407
23000,9,1407
24000,11,1407
25000,12,1407
26000,13,1407
27000,14,1411
28000,14,1436
29000,15,1530
30000,16,1581
31000,16,1585
32000,17,1585
33000,17,1585
34000,17,1686
35000,19,1710
36000,20,1742
37000,20,1914
38000,20,2039
39000,20,2183
40000,20,2214
41000,20,2214
42000,21,2214
43000,22,2223
44000,22,2396
45000,22,2515
46000,22,2634
47000,22,2697
48000,22,2833
49000,22,2946
50000,22,2952
51000,22,2952
52000,22,2952
53000,23,3007
54000,23,3007
55000,24,3008
56000,25,3008
57000,25,3142
58000,25,3433
59000,25,3508
60000,26,3545
61000,26,3599
62000,27,3708
63000,27,3793
64000,27,3793
65000,28,3805
66000,28,3938
67000,28,3938
68000,29,3938
69000,29,3938
70000,29,3938
71000,30,3938
72000,30,3942
73000,31,3942
74000,31,3943
75000,31,3978
76000,32,4003
77000,33,4021
78000,33,4026
79000,34,4026
80000,34,4026
81000,35,4026
82000,36,4048
83000,36,4049
84000,37,4104
85000,38,4104
86000,38,4104
87000,39,4104
88000,39,4104
89000,40,4108
90000,41,4108
91000,41,4108
92000,43,4124
93000,43,4124
94000,43,4217
95000,43,4217
96000,44,4217
97000,44,4217
98000,45,4217
99000,45,4260
100000,46,4270
101000,47,4297
102000,47,4515
103000,47,4643
104000,47,4700
105000,47,4711
106000,47,4751
107000,47,4751
108000,48,4788
109000,48,4919
110000,48,4919
111000,48,5012
112000,48,5056
113000,48,5211
114000,48,5339
115000,48,5445
116000,48,5549
117000,48,5643
118000,48,5744
119000,48,5884
120000,48,6020
121000,49,6116
122000,49,6167
123000,49,6203
124000,50,6203
125000,50,6232
126000,50,6232
127000,51,6241
128000,52,6262
129000,52,6262
130000,53,6293
131000,54,6371
132000,55,6371
133000,55,6371
134000,56,6396
135000,56,6566
136000,56,6722
137000,56,6781
138000,56,6850
139000,56,6911
140000,56,6930
141000,56,6930
142000,56,6931
143000,58,6932
144000,59,6938
145000,60,6972
146000,60,7065
147000,60,7135
148000,60,7272
149000,60,7372
150000,60,7474
151000,60,7489
152000,61,7513
153000,61,7631
154000,61,7721
155000,61,7846
156000,61,7902
157000,61,7917
158000,61,7956
159000,61,8046
160000,61,8154
161000,61,8242
162000,61,8301
163000,61,8377
164000,61,8431
165000,61,8498
166000,61,8513
167000,62,8520
168000,63,8520
169000,64,8526
170000,64,8534
171000,65,8534
172000,65,8545
173000,65,8640
174000,65,8647
175000,66,8647
176000,67,8647
177000,67,8714
178000,67,8774
179000,67,8781
180000,68,8781
181000,68,8940
182000,68,9049
183000,68,9102
184000,68,9211
185000,68,9377
186000,68,9467
187000,68,9474
188000,70,9653
189000,70,9720
190000,70,9758
191000,70,9797
192000,70,9828
193000,70,9828
194000,71,9828
195000,73,9828
196000,75,9849
197000,75,9849
198000,75,9849
199000,76,9849
200000,77,9878
201000,77,9892
202000,78,9976
203000,78,9985
204000,78,9985
205000,79,10044
206000,80,10151
207000,81,10176
208000,81,10345
209000,81,10512
210000,81,10602
211000,81,10681
212000,81,10725
213000,82,10815
214000,82,10858
215000,82,10865
216000,83,10865
217000,84,10865
218000,84,10865
219000,85,10865
220000,86,10865
221000,86,10901
222000,86,10952
223000,86,10997
224000,87,11021
225000,87,11114
226000,87,11237
227000,88,11237
228000,88,11237
229000,89,11237
230000,90,11237
231000,91,11239
232000,92,11254
233000,92,11254
234000,92,11303
235000,93,11366
236000,93,11470
237000,94,11509
238000,94,11693
239000,94,11781
240000,94,11856
241000,94,11856
242000,94,11856
243000,95,11856
244000,95,11912
245000,98,11958
246000,98,11958
247000,99,11975
248000,100,12037
249000,100,12284
250000,101,12311
251000,101,12388
252000,104,12454
253000,104,12558
254000,104,12717
255000,104,12814
256000,104,12863
257000,104,12877
258000,104,12955
259000,104,13028
260000,104,13170
261000,105,13176
262000,105,13247
263000,105,13347
264000,106,13463
265000,106,13550
266000,106,13606
267000,106,13606
268000,106,13639
269000,106,13657
270000,106,13658
271000,107,13700
272000,107,13712
273000,107,13712
274000,107,13724
275000,108,13774
276000,108,13825
277000,109,13825
278000,110,13944
279000,110,14012
280000,111,14012
281000,111,14012
282000,112,14012
283000,112,14055
284000,112,14146
285000,112,14274
286000,112,14318
287000,112,14428
288000,112,14460
289000,112,14556
290000,112,14599
291000,112,14633
292000,112,14722
293000,112,14776
294000,112,14786
295000,112,14786
296000,112,14797
297000,112,14912
298000,112,14980
299000,112,15034
300000,113,15105
